polity,cses_code,short_name,party_name
Sweden,7520001,eval_s,Sweden's Social Democratic Worker's Party
Sweden,7520002,eval_m,Moderate Party
Sweden,7520003,eval_fp,Liberal People's Party
Sweden,7520004,eval_kd,Christian Democrats
Sweden,7520005,eval_mp,Green Party
Sweden,7520006,eval_c,Centre Party
Sweden,7520007,eval_v,Left Party
Sweden,7520008,eval_sd,Sweden Democrats
Sweden,7520009,eval_fi,Feminist Party
Sweden,7520010,eval_jl,June List
Germany,2760001,Union,
Germany,2760002,CDU,
Germany,2760003,CSU,
Germany,2760004,SPD,
Germany,2760005,Gruene,"Alliance 90/The Greens
"
Germany,2760006,FDP,
Germany,2760007,Linke,
Germany,2760008,REP,
Germany,2760009,NPD,
Germany,2760010,AfD,
Germany,2760011,KPD,
Germany,2760012,DKP,
Germany,2760013,WASG,
Germany,2760014,Piraten,
Germany,2760015,DSU,
Germany,2760016,BP,
Germany,2760017,DVU,
Germany,2760018,SSW,
Germany,2760019,Graue,
Germany,2760020,OEDP,
Germany,2760021,PBC,
Germany,2760022,Rentner,
Germany,2760023,The Grey,
Germany,2760024,Schill-Party,
Germany,2760025,FW,
Germany,2760026,Tierschutzpartei,
Germany,2760027,MLDP,
Germany,2760028,Famile,
Germany,2760029,Violetten,
Germany,2760030,Partei,
Germany,2760031,Frauen,
Germany,2760032,AGFG,
Germany,2760033,APPD,
Germany,2760034,Bueso,
